100;203;287
150;441;673
200;799;1134
250;1178;1750
300;1688;2519
350;2292;3433
400;2998;4461
450;3775;5648
500;4659;6970
550;5642;8433
600;23728;41106
650;31698;47290
700;36604;54708
750;42002;62882
800;47712;71494
